"oris_code","unit_id","facility_name","state","fips_code","ertac_region","fuel_type","gen_capacity_mw","annual_so2_2022_tons","avg_annual_so2_rate_2022","annual_nox_2022_tons","avg_annual_nox_rate_2022","annual_so2_2038_tons","avg_annual_so2_rate_2038","annual_nox_2038_tons","avg_annual_nox_rate_2038","longitude","latitude"
10745,"013","Midland Cogeneration Venture","MI","26111","MISE","Combined Cycle Gas",124.98600668875,1.67310299999999,0.000600041033394112,276.707702499999,0.099238346806031,0.436106057651815,0.000600041033394114,73.3250298566336,0.100888364004236,-84.2242,43.5861
50611,"031","Rausch Creek Generation, LLC","PA","42107","PJME","Coal",33.8826748929769,309.1446505,0.172448043916354,270.829447999999,0.151074936820056,234.947400040647,0.17244804391635,205.659195198046,0.150950918883027,-76.45,40.6191
1743,"3","St. Clair","MI","26147","MISE","Coal",133.588666782805,439.839028,0.531971563751835,269.7207475,0.326218817998772,0,NA,0,NA,-82.4722,42.7625
2713,"01B","L V Sutton","NC","37129","SRCA","Combined Cycle Gas",395.696980396712,4.26791699999992,0.000626558790002575,269.4988445,0.0395642347114565,0.934663053937108,0.000626558790002601,59.020249986784,0.0395646926040351,-77.986383,34.282933
645,"BB03","Big Bend","FL","12057","FRCC","Coal",313.042396416823,46.6807800000002,0.0131623513327002,267.769071999999,0.0755015362145853,58.2644949187191,0.0131623513327002,333.862289737217,0.0754217943602078,-82.4036,27.7944
3797,"6","Chesterfield Power Station","VA","51041","PJMD","Coal",717.098485188359,587.536931999999,0.119004986046421,267.184948,0.0541180294833857,0,NA,0,NA,-77.38415866,37.38213789
58054,"ST01","Burgess BioPower","NH","33007","CONUS","EGU-Other",107.7389215918,18.2321135000015,0.00416383339669145,266.641846,0.0608954207821364,19.4421028084441,0.00416383339669114,284.326200962639,0.0608929467551403,-71.1753,44.4719
8006,"1","Roseton Generating LLC","NY","36071","NYUP","Oil",707.164229187835,521.464023499999,0.374334412038659,266.528082999999,0.191327932024817,11.985409489368,0.374334412038659,6.20673218212276,0.193851819926334,-73.9739,41.5711
2712,"4A","Roxboro","NC","37145","SRCA","Coal",261.869905394768,270.441838999999,0.141981064230672,262.2808195,0.137696556189676,228.287908405984,0.141981064230672,221.322428738661,0.137648963494592,-79.073059,36.483978
10865,"FBC9","Archer Daniels Midland Co.","IL","17115","CONUS","Industrial",113.411597795976,0,0,262.150717999999,0.0525578986912203,0,0,263.329976268823,0.0524340511313397,-88.885,39.8675
3407,"9","Kingston","TN","47145","SRCE","Coal",269.817703190618,317.231447000001,0.100173006974512,258.965621999999,0.0817742544255549,0,NA,0,NA,-84.5194,35.8992
2364,"2","Merrimack","NH","33013","ISNE","Coal",331.815894752637,64.862101,0.062563830782313,258.5338805,0.249373204101062,0,NA,0,NA,-71.4692,43.1411
2965,"1404","Tulsa","OK","40143","SPPS","Boiler Gas",151.57947639362,0.658984500000001,0.000600104616267001,256.617638,0.233689000544525,0.901937123041635,0.000600104616266999,350.760235640985,0.233378615020527,-95.9917,36.1125
55708,"BFB-1","Nacogdoches Generating Facility","TX","48347","CONUS","EGU-Other",121.609122908235,8.46629000000006,0.00283278053575557,256.349215499999,0.0857732333790365,9.04431604860155,0.00283278053575559,273.853067317614,0.085773831275418,-94.9006,31.8326
2866,"5","W H Sammis","OH","39081","PJMW","Coal",273.776074626838,117.800881,0.0764076131364061,255.6339665,0.165808447704707,0,NA,0,NA,-80.6311,40.5308
3,"4","Barry","AL","01097","SRSE","Coal",323.590920297777,814.100524999995,0.637957506814925,255.034549999999,0.199853950063067,978.330169265557,0.637957506814928,279.666098881334,0.182366948079431,-88.0103,31.0069
3476,"5","Knox Lee Power Plant","TX","48183","SPPS","Boiler Gas",335.448664240089,1.156264,0.000600040758530236,254.6531525,0.13215171516904,1.5205899750817,0.00060004075853023,335.261266082959,0.132297613230953,-94.6415,32.3766
52088,"GT-A","Texas City Cogeneration","TX","48167","TRE","Combined Cycle Gas",253.502060018109,1.22136750000001,0.000600052281548004,254.315516999999,0.12494405345558,0.637548537400943,0.000600052281548002,132.503377494874,0.124710432718966,-94.944,29.3787
56808,"1","Virginia City Hybrid Energy Center","VA","51195","PJMW","Coal",221.09356782641,39.2523899999998,0.0103927565590466,248.510512,0.0657975031222319,29.697548651343,0.0103927565590467,187.987603518945,0.0657868911144167,-82.3383,36.9164
2444,"8","Rio Grande","NM","35013","SRSG","Boiler Gas",151.247829624324,0.328308499999999,0.00027640052611137,248.481179,0.209194488124351,0.459975071458206,0.000276400526111376,349.657601677726,0.210110397409541,-106.5472,31.8047
