State Code,County Code,Site Number,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Duration Description,Pollutant Standard,Date (Local),Year,Day In Year (Local),Units of Measure,Exceptional Data Type,Nonreg Observation Count,Observation Count,Observation Percent,Nonreg Arithmetic Mean,Arithmetic Mean,Nonreg First Maximum Value,First Maximum Value,First Maximum Hour,AQI,Daily Criteria Indicator,Tribe Name,State Name,County Name,City Name,Local Site Name,Address,MSA or CBSA Name,Data Source
17,31,76,42401,1,41.7514,-87.713488,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,2/9/2021,2021,40,Parts per billion,None,,24,100,,2.358333,,4.6,9,6,Y,,Illinois,Cook,Chicago,COM ED MAINTENANCE BLDG,7801 LAWNDALE,"Chicago-Naperville-Elgin, IL-IN-WI",AQS Data Mart
17,31,76,42401,1,41.7514,-87.713488,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,2/10/2021,2021,41,Parts per billion,None,,24,100,,2.05,,3.2,10,4,Y,,Illinois,Cook,Chicago,COM ED MAINTENANCE BLDG,7801 LAWNDALE,"Chicago-Naperville-Elgin, IL-IN-WI",AQS Data Mart
17,31,76,42401,1,41.7514,-87.713488,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,2/11/2021,2021,42,Parts per billion,None,,24,100,,1.6625,,2,7,3,Y,,Illinois,Cook,Chicago,COM ED MAINTENANCE BLDG,7801 LAWNDALE,"Chicago-Naperville-Elgin, IL-IN-WI",AQS Data Mart
17,31,76,42401,1,41.7514,-87.713488,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,2/12/2021,2021,43,Parts per billion,None,,24,100,,1.629167,,2.1,8,3,Y,,Illinois,Cook,Chicago,COM ED MAINTENANCE BLDG,7801 LAWNDALE,"Chicago-Naperville-Elgin, IL-IN-WI",AQS Data Mart
17,31,76,42401,1,41.7514,-87.713488,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,2/13/2021,2021,44,Parts per billion,None,,24,100,,1.383333,,1.9,12,1,Y,,Illinois,Cook,Chicago,COM ED MAINTENANCE BLDG,7801 LAWNDALE,"Chicago-Naperville-Elgin, IL-IN-WI",AQS Data Mart
17,31,76,42401,1,41.7514,-87.713488,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,2/14/2021,2021,45,Parts per billion,None,,24,100,,1.3875,,1.9,12,1,Y,,Illinois,Cook,Chicago,COM ED MAINTENANCE BLDG,7801 LAWNDALE,"Chicago-Naperville-Elgin, IL-IN-WI",AQS Data Mart
17,31,76,42401,1,41.7514,-87.713488,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,2/15/2021,2021,46,Parts per billion,None,,24,100,,1.325,,1.7,13,1,Y,,Illinois,Cook,Chicago,COM ED MAINTENANCE BLDG,7801 LAWNDALE,"Chicago-Naperville-Elgin, IL-IN-WI",AQS Data Mart
17,31,76,42401,1,41.7514,-87.713488,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,2/16/2021,2021,47,Parts per billion,None,,24,100,,1.641667,,2.5,7,3,Y,,Illinois,Cook,Chicago,COM ED MAINTENANCE BLDG,7801 LAWNDALE,"Chicago-Naperville-Elgin, IL-IN-WI",AQS Data Mart
17,31,76,42401,1,41.7514,-87.713488,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,2/17/2021,2021,48,Parts per billion,None,,24,100,,3.120833,,10.4,17,14,Y,,Illinois,Cook,Chicago,COM ED MAINTENANCE BLDG,7801 LAWNDALE,"Chicago-Naperville-Elgin, IL-IN-WI",AQS Data Mart
17,31,76,42401,1,41.7514,-87.713488,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,2/18/2021,2021,49,Parts per billion,None,,24,100,,3.041667,,8.3,0,11,Y,,Illinois,Cook,Chicago,COM ED MAINTENANCE BLDG,7801 LAWNDALE,"Chicago-Naperville-Elgin, IL-IN-WI",AQS Data Mart
17,31,76,42401,1,41.7514,-87.713488,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,2/19/2021,2021,50,Parts per billion,None,,24,100,,1.683333,,2.4,1,3,Y,,Illinois,Cook,Chicago,COM ED MAINTENANCE BLDG,7801 LAWNDALE,"Chicago-Naperville-Elgin, IL-IN-WI",AQS Data Mart
17,31,76,42401,1,41.7514,-87.713488,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,2/20/2021,2021,51,Parts per billion,None,,24,100,,1.895833,,2.6,8,3,Y,,Illinois,Cook,Chicago,COM ED MAINTENANCE BLDG,7801 LAWNDALE,"Chicago-Naperville-Elgin, IL-IN-WI",AQS Data Mart
17,31,76,42401,1,41.7514,-87.713488,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,2/21/2021,2021,52,Parts per billion,None,,24,100,,1.979167,,2.5,9,3,Y,,Illinois,Cook,Chicago,COM ED MAINTENANCE BLDG,7801 LAWNDALE,"Chicago-Naperville-Elgin, IL-IN-WI",AQS Data Mart
17,31,76,42401,1,41.7514,-87.713488,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,2/22/2021,2021,53,Parts per billion,None,,24,100,,1.6375,,1.9,21,1,Y,,Illinois,Cook,Chicago,COM ED MAINTENANCE BLDG,7801 LAWNDALE,"Chicago-Naperville-Elgin, IL-IN-WI",AQS Data Mart
17,31,76,42401,1,41.7514,-87.713488,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,2/23/2021,2021,54,Parts per billion,None,,22,92,,1.890909,,2.2,12,3,Y,,Illinois,Cook,Chicago,COM ED MAINTENANCE BLDG,7801 LAWNDALE,"Chicago-Naperville-Elgin, IL-IN-WI",AQS Data Mart
17,31,76,42401,1,41.7514,-87.713488,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,2/24/2021,2021,55,Parts per billion,None,,24,100,,2.279167,,3.4,22,4,Y,,Illinois,Cook,Chicago,COM ED MAINTENANCE BLDG,7801 LAWNDALE,"Chicago-Naperville-Elgin, IL-IN-WI",AQS Data Mart
