"State Code","County Code","Site Num","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Sample Duration","Pollutant Standard","Date Local","Units of Measure","Event Type","Observation Count","Observation Percent","Arithmetic Mean","1st Max Value","1st Max Hour","AQI","Method Code","Method Name","Local Site Name","Address","State Name","County Name","City Name","CBSA Name","Date of Last Change"
"17","023","0001",44201,1,39.210857,-87.668297,"WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015",2021-02-17,"Parts per million","None",17,100,0.031824,0.035,12,32,NA,"-","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-01-19
"17","023","0001",44201,1,39.210857,-87.668297,"WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015",2021-02-18,"Parts per million","None",17,100,0.039588,0.044,10,41,NA,"-","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-01-19
"17","023","0001",44201,1,39.210857,-87.668297,"WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015",2021-02-19,"Parts per million","None",17,100,0.042235,0.047,10,44,NA,"-","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-01-19
"17","023","0001",44201,1,39.210857,-87.668297,"WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015",2021-02-20,"Parts per million","None",17,100,0.047471,0.055,11,51,NA,"-","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-01-19
"17","023","0001",44201,1,39.210857,-87.668297,"WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015",2021-02-21,"Parts per million","None",17,100,0.046824,0.051,11,47,NA,"-","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-01-19
"17","023","0001",44201,1,39.210857,-87.668297,"WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015",2021-02-22,"Parts per million","None",17,100,0.042235,0.048,9,44,NA,"-","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-01-19
"17","023","0001",44201,1,39.210857,-87.668297,"WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015",2021-02-23,"Parts per million","None",17,100,0.035235,0.04,9,37,NA,"-","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-01-19
"17","023","0001",44201,1,39.210857,-87.668297,"WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015",2021-02-24,"Parts per million","None",17,100,0.036941,0.041,13,38,NA,"-","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-01-19
"17","023","0001",44201,1,39.210857,-87.668297,"WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015",2021-02-25,"Parts per million","None",17,100,0.031294,0.04,10,37,NA,"-","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-01-19
"17","023","0001",44201,1,39.210857,-87.668297,"WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015",2021-02-26,"Parts per million","None",17,100,0.028529,0.036,9,33,NA,"-","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-01-19
